Wall time,Step,Value
1598591468.85897,149442,1.0
1598591528.2045326,149683,1.0
1598591579.397925,149886,1.0
1598591805.2722962,150758,1.0
1598591830.9899757,150863,1.0
1598591879.5289724,151042,0.96875
1598591882.1319413,151056,1.0
1598591888.8324633,151092,1.0
1598591902.8346803,151133,1.0
1598591928.0866268,151227,1.0
1598591937.2165923,151276,1.0
1598592007.9240828,151543,1.0
1598592257.5870893,152523,1.0
1598592316.8213205,152766,1.0
1598592925.7537923,155189,1.0
1598593024.975724,155584,1.0
1598593063.0940723,155720,1.0
1598593065.874747,155735,1.0
1598593295.9991817,156652,1.0
1598593400.008387,157064,1.0
1598593418.1729164,157130,1.0
1598593494.1869895,157430,1.0
1598593543.897043,157623,1.0
1598594003.1406345,159408,1.0
1598594092.9840872,159779,1.0
1598594206.3280282,160202,1.0
1598594215.5971355,160252,1.0
1598594261.4517326,160424,1.0
1598594334.881225,160708,1.0
1598594445.9168255,161159,1.0
1598594451.1139584,161187,1.0
1598594497.195864,161364,0.96875
1598594646.555847,161950,1.0
1598594714.6634068,162206,1.0
1598594805.2080576,162583,1.0
1598594856.4782364,162789,1.0
1598594985.5220847,163296,1.0
1598595324.3739738,164622,1.0
1598595534.5268087,165463,1.0
1598595566.568716,165597,0.96875
1598595618.0626593,165800,1.0
1598595744.6169553,166298,1.0
1598595983.9233143,167234,1.0
1598596020.9762554,167396,1.0
1598596086.3203092,167644,1.0
1598596187.3527746,168037,0.96875
1598596607.0979195,169323,1.0
1598596695.8016715,169554,0.96875
1598596810.4088151,169873,1.0
1598596854.4197562,169963,1.0
1598596933.8953948,170188,1.0
1598597055.4743721,170495,1.0
1598597330.0268626,171212,0.96875
1598597481.5835195,171620,1.0
1598597494.795305,171659,0.96875
1598597498.143896,171669,1.0
1598597982.1155765,172972,1.0
1598598032.0114799,173093,1.0
1598598063.7564151,173174,1.0
1598598215.7193415,173556,1.0
1598598279.6289165,173745,1.0
1598598548.8392355,174414,1.0
1598598631.159083,174647,1.0
1598599362.186325,176583,1.0
1598599824.735134,177777,1.0
1598599977.3386352,178192,1.0
1598600159.7233534,178661,1.0
1598600182.8380933,178701,1.0
1598600357.0150928,179196,1.0
1598600653.2747815,179966,1.0
1598600792.3706694,180315,1.0
1598601066.2770917,181049,1.0
1598601098.8223212,181108,1.0
1598601224.8313584,181463,1.0
1598601303.761073,181636,1.0
1598601471.9938228,182087,1.0
1598601769.3710072,182835,1.0
1598601808.187445,182944,1.0
1598601809.2275999,182949,0.96875
1598601914.4555156,183224,1.0
1598601927.871423,183271,1.0
1598602003.0628016,183486,1.0
1598602042.9004972,183598,1.0
1598602484.176484,184745,1.0
1598602601.3667953,185058,1.0
1598602969.778958,186005,1.0
1598603054.277615,186232,1.0
